date,ticker,Open,High,Low,Close,Adj Close,Volume
2019-03-07,BBRI.JK,3545.393310546875,3545.393310546875,3545.393310546875,3545.393310546875,2288.841064453125,0.0
2019-03-08,BBRI.JK,3472.667236328125,3527.2119140625,3463.576416015625,3499.939453125,2259.496826171875,142765635.0
2019-03-11,BBRI.JK,3545.393310546875,3545.393310546875,3481.758056640625,3509.0302734375,2265.365966796875,51418628.0
2019-03-12,BBRI.JK,3527.2119140625,3536.302490234375,3463.576416015625,3490.848876953125,2253.628173828125,69851316.0
2019-03-13,BBRI.JK,3454.48583984375,3463.576416015625,3436.30419921875,3445.39501953125,2224.2841796875,51432598.0
2019-03-14,BBRI.JK,3436.30419921875,3499.939453125,3436.30419921875,3490.848876953125,2253.628173828125,99175072.0
2019-03-15,BBRI.JK,3545.393310546875,3590.84716796875,3536.302490234375,3590.84716796875,2318.185302734375,106867285.0
2019-03-18,BBRI.JK,3627.2099609375,3663.572998046875,3618.119384765625,3636.30078125,2347.529296875,102196275.0
2019-03-19,BBRI.JK,3672.663818359375,3681.754638671875,3609.028564453125,3618.119384765625,2335.7919921875,63741150.0
2019-03-20,BBRI.JK,3599.937744140625,3645.3916015625,3599.937744140625,3627.2099609375,2341.660400390625,94567643.0
2019-03-21,BBRI.JK,3645.3916015625,3672.663818359375,3609.028564453125,3627.2099609375,2341.660400390625,121229463.0
2019-03-22,BBRI.JK,3663.572998046875,3699.93603515625,3636.30078125,3681.754638671875,2376.87353515625,104102388.0
2019-03-25,BBRI.JK,3663.572998046875,3672.663818359375,3627.2099609375,3645.3916015625,2353.3984375,90384491.0
2019-03-26,BBRI.JK,3681.754638671875,3709.02685546875,3645.3916015625,3690.845458984375,2382.742431640625,75475383.0
2019-03-27,BBRI.JK,3709.02685546875,3709.02685546875,3672.663818359375,3681.754638671875,2376.87353515625,56170270.0
2019-03-28,BBRI.JK,3699.93603515625,3709.02685546875,3663.572998046875,3699.93603515625,2388.611083984375,67263631.0
2019-03-29,BBRI.JK,3681.754638671875,3763.5712890625,3681.754638671875,3736.299072265625,2412.086181640625,71215890.0
2019-04-01,BBRI.JK,3763.5712890625,3781.7529296875,3754.480712890625,3772.662109375,2435.561767578125,73530330.0
2019-04-02,BBRI.JK,3790.843505859375,3790.843505859375,3754.480712890625,3772.662109375,2435.561767578125,48845023.0
2019-04-03,BBRI.JK,3772.662109375,3772.662109375,3772.662109375,3772.662109375,2435.561767578125,0.0
2019-04-04,BBRI.JK,3799.934326171875,3890.841796875,3763.5712890625,3836.29736328125,2476.6435546875,69303837.0
2019-04-05,BBRI.JK,3872.660400390625,3899.9326171875,3863.569580078125,3881.751220703125,2505.98779296875,54041183.0
2019-04-08,BBRI.JK,3899.9326171875,3899.9326171875,3827.20654296875,3863.569580078125,2494.25,82999953.0
2019-04-09,BBRI.JK,3890.841796875,3954.47705078125,3872.660400390625,3909.0234375,2523.593994140625,80659003.0
2019-04-10,BBRI.JK,3909.0234375,3927.204833984375,3872.660400390625,3918.1142578125,2529.462890625,116840608.0
2019-04-11,BBRI.JK,3909.0234375,3927.204833984375,3890.841796875,3909.0234375,2523.593994140625,188618827.0
2019-04-12,BBRI.JK,3909.0234375,3927.204833984375,3890.841796875,3918.1142578125,2529.462890625,84244625.0
